      1 | 2017:03:09 - 20:41:01.6612 |   IPv6 |    UDP |     DHCPv6 |               fe80::99e8:64fb:c7e1:bceb |                                     546 |                               ff02::1:2 |                                     547 |    150
      2 | 2017:03:09 - 20:41:03.6643 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      3 | 2017:03:09 - 20:41:04.6673 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   64955 |                             192.168.1.1 |                                      53 |     70
      4 | 2017:03:09 - 20:41:05.6684 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   64955 |     86
      5 | 2017:03:09 - 20:41:07.6695 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      6 | 2017:03:09 - 20:41:10.6707 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      7 | 2017:03:09 - 20:41:10.6727 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3976 |                          173.193.194.73 |                                      80 |     66
      8 | 2017:03:09 - 20:41:11.6747 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   51430 |                             192.168.1.1 |                                      53 |     83
      9 | 2017:03:09 - 20:41:11.6767 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   51430 |    127
     10 | 2017:03:09 - 20:41:11.6787 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3977 |                          162.213.61.124 |                                      80 |     66
     11 | 2017:03:09 - 20:41:11.6807 |   IPv4 |    TCP |       HTTP |                          162.213.61.124 |                                      80 |                            192.168.1.20 |                                    3977 |     66
     12 | 2017:03:09 - 20:41:11.6837 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3977 |                          162.213.61.124 |                                      80 |     54
     13 | 2017:03:09 - 20:41:11.6857 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3977 |                          162.213.61.124 |                                      80 |    503
     14 | 2017:03:09 - 20:41:11.6877 |   IPv4 |    TCP |       HTTP |                          162.213.61.124 |                                      80 |                            192.168.1.20 |                                    3977 |     54
     15 | 2017:03:09 - 20:41:11.6907 |   IPv4 |    TCP |       HTTP |                          162.213.61.124 |                                      80 |                            192.168.1.20 |                                    3977 |    949
     16 | 2017:03:09 - 20:41:11.6927 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3977 |                          162.213.61.124 |                                      80 |     54
     17 | 2017:03:09 - 20:41:11.6947 |   IPv4 |    TCP |       HTTP |                          162.213.61.124 |                                      80 |                            192.168.1.20 |                                    3977 |     54
     18 | 2017:03:09 - 20:41:11.6967 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3977 |                          162.213.61.124 |                                      80 |     54
     19 | 2017:03:09 - 20:41:12.6978 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   64821 |                             192.168.1.1 |                                      53 |     86
     20 | 2017:03:09 - 20:41:12.6998 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   64821 |    146
     21 | 2017:03:09 - 20:41:12.7018 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3978 |                           162.213.63.38 |                                      80 |     66
     22 | 2017:03:09 - 20:41:12.7038 |   IPv4 |    TCP |       HTTP |                           162.213.63.38 |                                      80 |                            192.168.1.20 |                                    3978 |     66
     23 | 2017:03:09 - 20:41:12.7058 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3978 |                           162.213.63.38 |                                      80 |     54
     24 | 2017:03:09 - 20:41:12.7098 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3978 |                           162.213.63.38 |                                      80 |    480
     25 | 2017:03:09 - 20:41:12.7118 |   IPv4 |    TCP |       HTTP |                           162.213.63.38 |                                      80 |                            192.168.1.20 |                                    3978 |     54
     26 | 2017:03:09 - 20:41:12.7138 |   IPv4 |    TCP |       HTTP |                           162.213.63.38 |                                      80 |                            192.168.1.20 |                                    3978 |    852
     27 | 2017:03:09 - 20:41:12.7158 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3978 |                           162.213.63.38 |                                      80 |     54
     28 | 2017:03:09 - 20:41:12.7188 |   IPv4 |    TCP |       HTTP |                           162.213.63.38 |                                      80 |                            192.168.1.20 |                                    3978 |     54
     29 | 2017:03:09 - 20:41:12.7218 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3978 |                           162.213.63.38 |                                      80 |     54
     30 | 2017:03:09 - 20:41:13.7229 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     31 | 2017:03:09 - 20:41:13.7279 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3976 |                          173.193.194.73 |                                      80 |     66
     32 | 2017:03:09 - 20:41:13.7309 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    3976 |     58
     33 | 2017:03:09 - 20:41:13.7329 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3976 |                          173.193.194.73 |                                      80 |     54
     34 | 2017:03:09 - 20:41:13.7359 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3976 |                          173.193.194.73 |                                      80 |    887
     35 | 2017:03:09 - 20:41:13.7379 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    3976 |     54
     36 | 2017:03:09 - 20:41:13.7409 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    3976 |    679
     37 | 2017:03:09 - 20:41:13.7429 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    3976 |                          173.193.194.73 |                                      80 |     54
     38 | 2017:03:09 - 20:41:13.7459 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    3976 |     54
