      1 | 2017:03:09 - 20:52:27.4434 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      2 | 2017:03:09 - 20:52:30.4436 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      3 | 2017:03:09 - 20:52:33.4437 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      4 | 2017:03:09 - 20:52:35.4449 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   62682 |                             192.168.1.1 |                                      53 |     70
      5 | 2017:03:09 - 20:52:35.5249 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   62682 |     86
      6 | 2017:03:09 - 20:52:37.5250 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      7 | 2017:03:09 - 20:52:40.5261 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      8 | 2017:03:09 - 20:52:40.6421 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      9 | 2017:03:09 - 20:52:41.6422 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     10 | 2017:03:09 - 20:52:42.6423 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     11 | 2017:03:09 - 20:52:43.6423 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     12 | 2017:03:09 - 20:52:47.6425 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     13 | 2017:03:09 - 20:52:50.6437 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     14 | 2017:03:09 - 20:52:52.6438 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     15 | 2017:03:09 - 20:52:53.6439 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     16 | 2017:03:09 - 20:52:53.8559 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     17 | 2017:03:09 - 20:52:56.8561 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4015 |                          173.193.194.73 |                                      80 |     66
     18 | 2017:03:09 - 20:52:57.0871 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4015 |     58
     19 | 2017:03:09 - 20:52:57.3061 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4015 |                          173.193.194.73 |                                      80 |     54
     20 | 2017:03:09 - 20:52:57.5371 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4015 |                          173.193.194.73 |                                      80 |   1155
     21 | 2017:03:09 - 20:52:57.7751 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4015 |     54
     22 | 2017:03:09 - 20:52:58.0351 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4015 |    679
     23 | 2017:03:09 - 20:52:58.2992 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4015 |                          173.193.194.73 |                                      80 |     54
     24 | 2017:03:09 - 20:52:58.5712 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4015 |     54
     25 | 2017:03:09 - 20:52:58.5722 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4015 |                          173.193.194.73 |                                      80 |     54
     26 | 2017:03:09 - 20:52:58.8452 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   52808 |                             192.168.1.1 |                                      53 |     77
     27 | 2017:03:09 - 20:52:58.8462 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   52808 |     93
     28 | 2017:03:09 - 20:52:58.8472 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4016 |                          173.193.194.73 |                                      80 |     66
