No.     | Time                       | NetPtc | Tran P | App Portoc | Source IP                               | Source Port                             | Destation IP                            | Destation Port                          | Length
      1 | 2017:03:09 - 21:00:07.6097 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      2 | 2017:03:09 - 21:00:08.6218 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      3 | 2017:03:09 - 21:00:08.6708 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
      4 | 2017:03:09 - 21:00:08.7288 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
      5 | 2017:03:09 - 21:00:09.7298 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      6 | 2017:03:09 - 21:00:10.7299 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      7 | 2017:03:09 - 21:00:10.8199 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
      8 | 2017:03:09 - 21:00:13.8201 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      9 | 2017:03:09 - 21:00:17.8203 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     10 | 2017:03:09 - 21:00:17.9523 |   IPv4 |    UDP |       mDNS |                            192.168.1.19 |                                    5353 |                             224.0.0.251 |                                    5353 |    183
     11 | 2017:03:09 - 21:00:18.9534 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
     12 | 2017:03:09 - 21:00:19.1114 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
     13 | 2017:03:09 - 21:00:20.1124 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     14 | 2017:03:09 - 21:00:20.2874 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     15 | 2017:03:09 - 21:00:21.2875 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     16 | 2017:03:09 - 21:00:22.2876 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
     17 | 2017:03:09 - 21:00:23.2876 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     18 | 2017:03:09 - 21:00:27.2878 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
     19 | 2017:03:09 - 21:00:29.2880 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4043 |                             52.84.24.21 |                                     443 |     55
     20 | 2017:03:09 - 21:00:29.5030 |   IPv4 |    TCP | Secure TCP |                             52.84.24.21 |                                     443 |                            192.168.1.20 |                                    4043 |     66
     21 | 2017:03:09 - 21:00:30.5040 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
