      1 | 2017:03:09 - 20:48:59.4445 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   64021 |                             192.168.1.1 |                                      53 |     91
      2 | 2017:03:09 - 20:48:59.4465 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   64021 |    147
      3 | 2017:03:09 - 20:48:59.4485 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     66
      4 | 2017:03:09 - 20:48:59.4505 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   64621 |                             192.168.1.1 |                                      53 |     97
      5 | 2017:03:09 - 20:48:59.4535 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   64621 |    113
      6 | 2017:03:09 - 20:48:59.4555 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   55574 |                             192.168.1.1 |                                      53 |     97
      7 | 2017:03:09 - 20:48:59.4575 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   55574 |    125
      8 | 2017:03:09 - 20:48:59.4595 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |     66
      9 | 2017:03:09 - 20:48:59.4615 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
     10 | 2017:03:09 - 20:48:59.4635 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |    306
     11 | 2017:03:09 - 20:48:59.4655 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |     54
     12 | 2017:03:09 - 20:48:59.4675 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
     13 | 2017:03:09 - 20:48:59.4695 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
     14 | 2017:03:09 - 20:48:59.4715 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
     15 | 2017:03:09 - 20:48:59.4735 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |    523
     16 | 2017:03:09 - 20:48:59.4755 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |    180
     17 | 2017:03:09 - 20:48:59.4775 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |   1252
     18 | 2017:03:09 - 20:48:59.4795 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |    344
     19 | 2017:03:09 - 20:48:59.4825 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
     20 | 2017:03:09 - 20:48:59.4845 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
     21 | 2017:03:09 - 20:48:59.4865 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
     22 | 2017:03:09 - 20:48:59.4885 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
     23 | 2017:03:09 - 20:48:59.4905 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
